application_id,job_id,user_id,role,college_id,applied_at
133,119,928,student,104,2025-11-15 16:58:49.655710
134,66,464,student,103,2026-01-14 16:58:49.655710
135,70,431,student,101,2025-11-17 16:58:49.655710
136,150,672,student,102,2026-01-25 16:58:49.655710
137,153,118,student,103,2025-12-04 16:58:49.655710
138,108,480,student,103,2025-12-07 16:58:49.655710
139,98,107,student,102,2025-11-23 16:58:49.655710
140,70,984,student,101,2025-11-26 16:58:49.655710
141,6,328,student,103,2025-11-01 16:58:49.655710
142,157,598,student,103,2025-12-13 16:58:49.655710
143,72,335,student,103,2025-11-12 16:58:49.655710
144,94,986,student,102,2025-10-31 16:58:49.655710
145,186,226,student,102,2026-01-11 16:58:49.655710
146,63,167,student,103,2025-11-21 16:58:49.655710
147,157,912,student,103,2025-11-28 16:58:49.655710
148,56,668,student,102,2025-11-16 16:58:49.655710
149,188,718,student,103,2025-12-09 16:58:49.655710
150,144,731,student,102,2025-12-13 16:58:49.655710
151,160,713,student,104,2025-12-01 16:58:49.655710
152,149,85,student,103,2025-12-06 16:58:49.655710
153,141,841,student,104,2026-01-24 16:58:49.655710
154,141,944,student,102,2025-11-30 16:58:49.655710
155,46,298,student,104,2025-11-14 16:58:49.655710
156,134,809,student,103,2025-10-30 16:58:49.655710
157,21,711,student,103,2025-12-11 16:58:49.655710
158,64,69,student,102,2025-12-29 16:58:49.655710
159,16,263,student,103,2025-12-13 16:58:49.655710
160,146,647,student,103,2025-11-02 16:58:49.655710
161,48,266,student,101,2025-11-14 16:58:49.655710
162,9,634,student,101,2025-11-28 16:58:49.655710
163,177,526,student,102,2025-12-03 16:58:49.655710
164,179,758,student,104,2026-01-23 16:58:49.655710
165,43,61,student,103,2025-11-27 16:58:49.655710
166,60,831,student,101,2025-11-01 16:58:49.655710
167,97,232,student,103,2026-01-06 16:58:49.655710
168,96,353,student,101,2025-12-01 16:58:49.655710
169,159,157,student,101,2025-11-15 16:58:49.655710
170,144,581,student,103,2026-01-12 16:58:49.655710
171,180,915,student,104,2026-01-27 16:58:49.655710
172,108,687,student,102,2025-11-14 16:58:49.655710
173,129,539,student,103,2026-01-06 16:58:49.655710
174,167,844,student,103,2026-01-08 16:58:49.655710
175,103,36,student,101,2026-01-12 16:58:49.655710
176,92,386,student,104,2025-11-02 16:58:49.655710
177,22,67,student,102,2026-01-15 16:58:49.655710
178,12,673,student,104,2026-01-09 16:58:49.655710
179,83,694,student,101,2025-11-08 16:58:49.655710
180,146,905,student,103,2025-12-20 16:58:49.655710
181,142,126,student,104,2026-01-02 16:58:49.655710
182,7,64,student,103,2025-12-19 16:58:49.655710
183,60,977,student,101,2025-11-23 16:58:49.655710
184,134,825,student,104,2026-01-21 16:58:49.655710
185,69,180,student,104,2025-12-18 16:58:49.655710
186,14,450,student,101,2025-12-31 16:58:49.655710
187,83,780,student,102,2025-12-08 16:58:49.655710
188,193,52,student,102,2025-11-09 16:58:49.655710
189,169,845,student,102,2026-01-05 16:58:49.655710
190,137,907,student,102,2025-12-09 16:58:49.655710
191,30,89,student,102,2025-12-31 16:58:49.655710
192,170,474,student,104,2026-01-04 16:58:49.655710
193,196,33,student,101,2025-11-23 16:58:49.655710
194,22,480,student,103,2025-11-01 16:58:49.655710
195,95,730,student,104,2025-11-01 16:58:49.655710
196,28,962,student,104,2025-12-25 16:58:49.655710
197,66,801,student,104,2025-12-29 16:58:49.655710
198,13,642,student,104,2025-10-31 16:58:49.655710
199,104,844,student,101,2026-01-27 16:58:49.655710
200,68,802,student,102,2026-01-25 16:58:49.655710
201,27,83,student,103,2026-01-01 16:58:49.655710
202,136,56,student,104,2025-11-05 16:58:49.655710
203,149,63,student,103,2025-12-13 16:58:49.655710
204,190,560,student,104,2026-01-12 16:58:49.655710
205,85,484,student,102,2025-12-04 16:58:49.655710
206,78,324,student,103,2026-01-15 16:58:49.655710
207,191,479,student,104,2025-11-26 16:58:49.655710
208,70,299,student,102,2025-11-02 16:58:49.655710
209,24,709,student,102,2025-11-26 16:58:49.655710
210,164,54,student,104,2025-12-17 16:58:49.655710
211,28,729,student,104,2025-11-03 16:58:49.655710
212,50,548,student,103,2026-01-09 16:58:49.655710
213,197,432,student,104,2025-11-07 16:58:49.655710
214,155,703,student,102,2025-12-24 16:58:49.655710
215,171,695,student,101,2025-11-20 16:58:49.655710
216,187,200,student,103,2025-11-22 16:58:49.655710
217,48,862,student,102,2025-12-30 16:58:49.655710
218,33,45,student,104,2026-01-19 16:58:49.655710
219,183,27,student,101,2026-01-02 16:58:49.655710
220,106,234,student,101,2026-01-05 16:58:49.655710
221,26,781,student,102,2025-12-30 16:58:49.655710
222,151,270,student,101,2026-01-08 16:58:49.655710
223,50,402,student,102,2026-01-07 16:58:49.655710
224,139,304,student,103,2026-01-05 16:58:49.655710
225,199,109,student,104,2026-01-13 16:58:49.655710
226,186,2,student,101,2025-11-23 16:58:49.655710
227,192,725,student,103,2025-11-18 16:58:49.655710
228,112,446,student,101,2026-01-03 16:58:49.655710
229,8,914,student,103,2025-12-06 16:58:49.655710
230,72,252,student,104,2025-10-30 16:58:49.655710
231,182,742,student,102,2025-12-23 16:58:49.655710
232,15,40,student,102,2025-11-24 16:58:49.655710
233,93,466,student,101,2025-11-30 16:58:49.655710
234,25,772,student,104,2025-11-23 16:58:49.655710
235,130,692,student,102,2025-11-03 16:58:49.655710
236,93,354,student,104,2025-12-09 16:58:49.655710
237,120,73,student,101,2025-12-30 16:58:49.655710
238,50,875,student,104,2026-01-19 16:58:49.655710
239,40,999,student,104,2026-01-20 16:58:49.655710
240,149,742,student,103,2026-01-05 16:58:49.655710
241,70,537,student,102,2025-12-24 16:58:49.655710
242,184,777,student,104,2025-11-09 16:58:49.655710
243,1,351,student,102,2025-11-14 16:58:49.655710
244,73,384,student,101,2025-11-14 16:58:49.655710
245,130,961,student,102,2025-12-24 16:58:49.655710
246,129,405,student,103,2025-12-15 16:58:49.655710
247,141,300,student,104,2025-11-15 16:58:49.655710
248,43,635,student,104,2025-12-28 16:58:49.655710
249,49,727,student,101,2025-11-10 16:58:49.655710
250,101,319,student,101,2025-12-08 16:58:49.655710
251,151,343,student,102,2025-12-11 16:58:49.655710
252,93,611,student,102,2025-12-02 16:58:49.655710
253,168,104,student,104,2026-01-24 16:58:49.655710
254,53,803,student,101,2025-12-22 16:58:49.655710
255,134,682,student,102,2025-11-25 16:58:49.655710
256,124,532,student,102,2025-12-15 16:58:49.655710
257,160,204,student,104,2025-10-31 16:58:49.655710
258,185,157,student,101,2025-11-05 16:58:49.655710
259,27,552,student,101,2025-11-14 16:58:49.655710
260,150,433,student,101,2025-11-30 16:58:49.655710
261,105,743,student,102,2025-11-09 16:58:49.655710
262,138,534,student,101,2026-01-17 16:58:49.655710
263,125,1,student,101,2026-01-05 16:58:49.655710
264,138,737,student,103,2025-12-27 16:58:49.655710
265,197,784,student,103,2025-12-18 16:58:49.655710
266,155,705,student,104,2026-01-26 16:58:49.655710
267,183,315,student,104,2025-12-30 16:58:49.655710
268,200,900,student,101,2026-01-19 16:58:49.655710
269,150,508,student,101,2025-11-04 16:58:49.655710
270,19,25,student,102,2025-12-29 16:58:49.655710
271,88,832,student,101,2026-01-28 16:58:49.655710
272,22,921,student,102,2025-12-19 16:58:49.655710
273,57,40,student,104,2026-01-14 16:58:49.655710
274,67,11,student,104,2025-11-25 16:58:49.655710
275,98,245,student,103,2025-11-07 16:58:49.655710
276,118,876,student,102,2025-12-28 16:58:49.655710
277,116,939,student,104,2025-11-07 16:58:49.655710
278,175,429,student,103,2025-11-02 16:58:49.655710
279,75,919,student,102,2025-12-27 16:58:49.655710
280,51,148,student,102,2025-11-29 16:58:49.655710
281,103,787,student,104,2025-12-02 16:58:49.655710
282,196,555,student,101,2026-01-07 16:58:49.655710
283,196,217,student,104,2025-12-31 16:58:49.655710
284,101,838,student,102,2025-12-26 16:58:49.655710
285,147,754,student,102,2026-01-07 16:58:49.655710
286,154,492,student,103,2026-01-05 16:58:49.655710
287,106,682,student,101,2026-01-12 16:58:49.655710
288,184,613,student,101,2025-11-02 16:58:49.655710
289,116,75,student,102,2026-01-15 16:58:49.655710
290,110,16,student,101,2026-01-04 16:58:49.655710
291,59,686,student,102,2025-10-31 16:58:49.655710
292,72,229,student,102,2025-12-07 16:58:49.655710
293,190,765,student,101,2026-01-13 16:58:49.655710
294,19,571,student,103,2025-11-14 16:58:49.655710
295,124,791,student,103,2025-10-31 16:58:49.655710
296,169,650,student,103,2025-11-02 16:58:49.655710
297,165,483,student,102,2025-12-08 16:58:49.655710
298,62,751,student,104,2025-12-26 16:58:49.655710
299,45,991,student,102,2025-11-26 16:58:49.655710
300,128,208,student,103,2025-11-24 16:58:49.655710
301,169,640,student,104,2025-11-13 16:58:49.655710
302,191,483,student,101,2025-11-12 16:58:49.655710
303,55,30,student,104,2025-11-22 16:58:49.655710
304,26,14,student,103,2025-12-21 16:58:49.655710
305,172,768,student,102,2025-12-01 16:58:49.655710
306,54,523,student,102,2025-11-19 16:58:49.655710
307,161,558,student,101,2025-12-05 16:58:49.655710
308,189,709,student,104,2025-11-09 16:58:49.655710
309,195,217,student,103,2026-01-02 16:58:49.655710
310,7,92,student,101,2026-01-20 16:58:49.655710
311,117,652,student,102,2026-01-13 16:58:49.655710
312,16,986,student,103,2025-12-11 16:58:49.655710
313,54,256,student,102,2025-12-31 16:58:49.655710
314,67,884,student,104,2025-12-27 16:58:49.655710
315,143,973,student,102,2025-11-23 16:58:49.655710
316,25,980,student,103,2026-01-14 16:58:49.655710
317,164,50,student,101,2025-11-29 16:58:49.655710
318,143,62,student,104,2025-12-09 16:58:49.655710
319,13,407,student,101,2025-11-26 16:58:49.655710
320,57,559,student,103,2026-01-15 16:58:49.655710
321,11,721,student,104,2025-11-15 16:58:49.655710
322,148,70,student,103,2026-01-06 16:58:49.655710
323,53,439,student,104,2025-11-09 16:58:49.655710
324,115,693,student,101,2026-01-03 16:58:49.655710
325,171,964,student,102,2026-01-19 16:58:49.655710
326,83,580,student,104,2026-01-12 16:58:49.655710
327,54,98,student,101,2025-12-30 16:58:49.655710
328,51,960,student,103,2025-11-20 16:58:49.655710
329,112,291,student,104,2025-12-29 16:58:49.655710
330,19,688,student,103,2025-11-11 16:58:49.655710
331,65,677,student,102,2025-11-27 16:58:49.655710
332,23,346,student,102,2026-01-04 16:58:49.655710
333,73,486,student,104,2025-11-29 16:58:49.655710
334,19,79,student,103,2025-11-07 16:58:49.655710
335,34,40,student,101,2025-12-09 16:58:49.655710
336,117,620,student,101,2026-01-11 16:58:49.655710
337,55,53,student,104,2025-12-02 16:58:49.655710
338,170,633,student,104,2025-11-02 16:58:49.655710
339,89,812,student,102,2026-01-02 16:58:49.655710
340,130,592,student,103,2025-11-15 16:58:49.655710
341,101,291,student,101,2026-01-15 16:58:49.655710
342,182,117,student,101,2025-11-30 16:58:49.655710
343,65,962,student,104,2025-11-22 16:58:49.655710
344,96,829,student,102,2026-01-09 16:58:49.655710
345,67,408,student,101,2025-11-20 16:58:49.655710
346,57,362,student,103,2025-12-02 16:58:49.655710
347,124,85,student,102,2025-11-02 16:58:49.655710
348,146,566,student,101,2026-01-23 16:58:49.655710
349,45,460,student,101,2026-01-12 16:58:49.655710
350,192,598,student,104,2025-11-23 16:58:49.655710
351,192,286,student,103,2025-11-21 16:58:49.655710
352,176,180,student,104,2025-12-20 16:58:49.655710
353,29,827,student,103,2025-11-20 16:58:49.655710
354,16,590,student,103,2025-11-19 16:58:49.655710
355,113,391,student,102,2026-01-05 16:58:49.655710
356,121,48,student,103,2025-12-08 16:58:49.655710
357,192,435,student,104,2026-01-19 16:58:49.655710
358,96,881,student,104,2025-12-06 16:58:49.655710
359,121,142,student,101,2025-11-21 16:58:49.655710
360,163,424,student,101,2025-11-03 16:58:49.655710
361,73,333,student,103,2026-01-25 16:58:49.655710
362,125,443,student,102,2026-01-12 16:58:49.655710
363,25,603,student,103,2026-01-23 16:58:49.655710
364,99,723,student,102,2025-11-09 16:58:49.655710
365,172,756,student,104,2026-01-12 16:58:49.655710
366,145,796,student,101,2025-12-12 16:58:49.655710
367,132,644,student,104,2026-01-19 16:58:49.655710
368,69,671,student,104,2025-11-16 16:58:49.655710
369,146,790,student,101,2026-01-10 16:58:49.655710
370,81,901,student,103,2026-01-08 16:58:49.655710
371,52,498,student,103,2025-11-16 16:58:49.655710
372,121,526,student,102,2025-10-30 16:58:49.655710
373,195,984,student,104,2026-01-12 16:58:49.655710
374,185,282,student,103,2026-01-22 16:58:49.655710
375,122,781,student,102,2025-11-02 16:58:49.655710
376,180,533,student,103,2025-11-13 16:58:49.655710
377,110,94,student,101,2025-11-11 16:58:49.655710
378,21,398,student,102,2025-11-26 16:58:49.655710
379,130,503,student,101,2025-11-27 16:58:49.655710
380,136,76,student,102,2025-12-08 16:58:49.655710
381,97,342,student,101,2026-01-22 16:58:49.655710
382,127,832,student,104,2025-11-02 16:58:49.655710
383,9,58,student,101,2025-11-27 16:58:49.655710
384,184,611,student,103,2025-12-15 16:58:49.655710
385,86,13,student,104,2025-11-28 16:58:49.655710
386,140,321,student,104,2025-12-26 16:58:49.655710
387,41,74,student,102,2025-11-16 16:58:49.655710
388,51,186,student,101,2026-01-21 16:58:49.655710
389,143,856,student,102,2026-01-04 16:58:49.655710
390,192,980,student,104,2025-11-22 16:58:49.655710
391,123,104,student,101,2026-01-10 16:58:49.655710
392,49,54,student,104,2025-12-10 16:58:49.655710
393,12,929,student,101,2025-11-20 16:58:49.655710
394,44,456,student,102,2026-01-11 16:58:49.655710
395,170,964,student,104,2026-01-23 16:58:49.655710
396,168,273,student,101,2025-11-26 16:58:49.655710
397,10,301,student,102,2025-11-27 16:58:49.655710
398,11,215,student,103,2026-01-01 16:58:49.655710
399,144,957,student,104,2026-01-20 16:58:49.655710
400,167,232,student,104,2025-11-25 16:58:49.655710
401,144,464,student,101,2026-01-07 16:58:49.655710
402,7,525,student,104,2025-12-08 16:58:49.655710
403,108,789,student,103,2025-11-02 16:58:49.655710
404,46,151,student,104,2026-01-18 16:58:49.655710
405,50,541,student,104,2025-12-16 16:58:49.655710
406,67,782,student,104,2025-12-16 16:58:49.655710
407,110,370,student,103,2025-11-14 16:58:49.655710
408,42,711,student,102,2025-11-26 16:58:49.655710
409,91,666,student,101,2026-01-03 16:58:49.655710
410,133,304,student,101,2026-01-21 16:58:49.655710
411,32,344,student,103,2026-01-12 16:58:49.655710
412,19,560,student,101,2026-01-14 16:58:49.655710
413,173,819,student,101,2025-11-11 16:58:49.655710
414,78,321,student,101,2025-11-20 16:58:49.655710
415,6,312,student,102,2026-01-26 16:58:49.655710
416,128,770,student,104,2025-12-20 16:58:49.655710
417,40,680,student,104,2025-12-31 16:58:49.655710
418,43,303,student,102,2025-11-14 16:58:49.655710
419,18,840,student,102,2025-11-14 16:58:49.655710
420,11,570,student,103,2026-01-18 16:58:49.655710
421,10,943,student,102,2026-01-27 16:58:49.655710
422,72,388,student,102,2025-12-03 16:58:49.655710
423,80,330,student,103,2025-11-11 16:58:49.655710
424,144,568,student,101,2025-12-26 16:58:49.655710
425,157,137,student,103,2026-01-15 16:58:49.655710
426,90,11,student,103,2025-11-07 16:58:49.655710
427,54,495,student,103,2025-11-20 16:58:49.655710
428,169,577,student,103,2026-01-16 16:58:49.655710
429,119,779,student,103,2025-12-14 16:58:49.655710
430,44,371,student,101,2025-11-30 16:58:49.655710
431,182,262,student,101,2025-11-04 16:58:49.655710
432,59,400,student,102,2025-11-30 16:58:49.655710
433,106,650,student,104,2026-01-10 16:58:49.655710
434,153,491,student,101,2026-01-13 16:58:49.655710
435,99,686,student,104,2026-01-05 16:58:49.655710
436,86,663,student,103,2026-01-05 16:58:49.655710
437,60,261,student,104,2025-11-04 16:58:49.655710
438,84,165,student,102,2025-11-20 16:58:49.655710
439,97,16,student,103,2026-01-24 16:58:49.655710
440,69,492,student,103,2025-12-02 16:58:49.655710
441,55,88,student,104,2026-01-01 16:58:49.655710
442,115,901,student,104,2025-10-30 16:58:49.655710
443,113,156,student,101,2025-12-05 16:58:49.655710
444,39,758,student,104,2025-12-26 16:58:49.655710
445,193,305,student,103,2025-11-19 16:58:49.655710
446,46,654,student,104,2025-12-17 16:58:49.655710
447,101,455,student,103,2025-11-28 16:58:49.655710
448,22,758,student,103,2025-12-09 16:58:49.655710
449,167,653,student,101,2025-11-13 16:58:49.655710
450,59,275,student,103,2026-01-13 16:58:49.655710
451,183,855,student,102,2025-12-02 16:58:49.655710
452,25,458,student,103,2026-01-02 16:58:49.655710
453,71,654,student,101,2026-01-03 16:58:49.655710
454,85,228,student,103,2025-11-14 16:58:49.655710
455,138,948,student,103,2025-12-17 16:58:49.655710
456,74,951,student,101,2025-12-14 16:58:49.655710
457,72,872,student,102,2025-11-04 16:58:49.655710
458,137,885,student,104,2025-12-01 16:58:49.655710
459,30,664,student,102,2025-12-14 16:58:49.655710
460,95,302,student,101,2025-10-30 16:58:49.655710
461,200,607,student,104,2026-01-19 16:58:49.655710
462,163,728,student,101,2025-11-20 16:58:49.655710
463,89,480,student,101,2025-11-23 16:58:49.655710
464,64,284,student,101,2025-12-29 16:58:49.655710
465,77,523,student,101,2026-01-05 16:58:49.655710
466,159,516,student,103,2026-01-07 16:58:49.655710
467,183,282,student,103,2026-01-03 16:58:49.655710
468,152,875,student,104,2025-12-04 16:58:49.655710
469,180,927,student,102,2025-11-04 16:58:49.655710
470,181,83,student,104,2025-12-18 16:58:49.655710
471,96,354,student,103,2025-11-22 16:58:49.655710
472,145,897,student,101,2025-11-21 16:58:49.655710
473,85,680,student,104,2025-12-24 16:58:49.655710
474,56,602,student,104,2025-12-25 16:58:49.655710
475,73,448,student,101,2025-11-22 16:58:49.655710
476,26,838,student,104,2025-12-30 16:58:49.655710
477,188,238,student,102,2026-01-04 16:58:49.655710
478,97,459,student,102,2026-01-18 16:58:49.655710
479,76,389,student,102,2026-01-10 16:58:49.655710
480,109,259,student,101,2025-12-07 16:58:49.655710
481,182,291,student,104,2025-12-20 16:58:49.655710
482,41,385,student,101,2026-01-14 16:58:49.655710
483,186,737,student,104,2026-01-14 16:58:49.655710
484,151,268,student,102,2025-12-03 16:58:49.655710
485,47,537,student,103,2025-12-16 16:58:49.655710
486,72,409,student,102,2025-11-07 16:58:49.655710
487,159,868,student,102,2026-01-22 16:58:49.655710
488,111,320,student,104,2025-12-18 16:58:49.655710
489,174,436,student,101,2025-11-16 16:58:49.655710
490,192,349,student,104,2025-11-08 16:58:49.655710
491,139,849,student,103,2026-01-24 16:58:49.655710
492,87,775,student,103,2025-11-04 16:58:49.655710
493,69,302,student,103,2025-11-24 16:58:49.655710
494,79,252,student,102,2025-11-11 16:58:49.655710
495,154,607,student,101,2025-12-28 16:58:49.655710
496,41,346,student,101,2026-01-02 16:58:49.655710
497,186,584,student,101,2025-12-13 16:58:49.655710
498,196,715,student,103,2025-11-14 16:58:49.655710
499,191,467,student,102,2025-12-16 16:58:49.655710
500,153,936,student,103,2025-12-12 16:58:49.655710
501,187,963,student,101,2025-11-10 16:58:49.655710
502,195,175,student,102,2025-11-05 16:58:49.655710
503,178,719,student,103,2026-01-06 16:58:49.655710
504,2,784,student,104,2025-12-16 16:58:49.655710
505,79,603,student,103,2026-01-23 16:58:49.655710
506,146,160,student,103,2025-12-27 16:58:49.655710
507,101,511,student,104,2025-12-29 16:58:49.655710
508,64,844,student,102,2025-11-24 16:58:49.655710
509,65,69,student,104,2025-12-21 16:58:49.655710
510,13,854,student,103,2025-12-26 16:58:49.655710
511,28,400,student,104,2025-12-22 16:58:49.655710
512,153,322,student,102,2025-11-08 16:58:49.655710
513,118,319,student,102,2025-11-16 16:58:49.655710
514,143,112,student,101,2025-12-16 16:58:49.655710
515,18,306,student,102,2025-11-01 16:58:49.655710
516,100,775,student,104,2026-01-01 16:58:49.655710
517,181,732,student,103,2025-12-16 16:58:49.655710
518,154,277,student,104,2026-01-15 16:58:49.655710
519,121,517,student,101,2025-12-27 16:58:49.655710
520,188,643,student,103,2025-12-02 16:58:49.655710
521,36,402,student,101,2026-01-27 16:58:49.655710
522,141,375,student,102,2026-01-23 16:58:49.655710
523,176,890,student,103,2025-11-21 16:58:49.655710
524,77,761,student,103,2026-01-24 16:58:49.655710
525,187,225,student,101,2025-11-22 16:58:49.655710
526,49,708,student,103,2026-01-15 16:58:49.655710
527,103,75,student,103,2026-01-13 16:58:49.655710
528,69,990,student,104,2025-12-13 16:58:49.655710
529,115,854,student,101,2025-11-05 16:58:49.655710
530,156,10,student,101,2025-11-25 16:58:49.655710
531,160,960,student,104,2025-12-19 16:58:49.655710
532,179,677,student,101,2025-11-27 16:58:49.655710
533,86,550,student,101,2025-11-08 16:58:49.655710
534,163,340,student,101,2025-12-30 16:58:49.655710
535,41,974,student,103,2025-11-30 16:58:49.655710
536,30,538,student,102,2026-01-28 16:58:49.655710
