job_id,company,job_type,college_id,posted_at
59,Microsoft,internship,103,2026-01-17 16:58:49.650396
60,Amazon,full-time,103,2025-11-07 16:58:49.650396
61,Amazon,full-time,102,2025-11-24 16:58:49.650396
62,Amazon,internship,101,2025-11-21 16:58:49.650396
63,Microsoft,internship,103,2025-12-27 16:58:49.650396
64,Amazon,full-time,101,2025-12-19 16:58:49.650396
65,Microsoft,internship,102,2025-12-25 16:58:49.650396
66,Amazon,full-time,101,2025-12-29 16:58:49.650396
67,TCS,internship,102,2025-11-17 16:58:49.650396
68,Infosys,full-time,101,2025-11-05 16:58:49.650396
69,Microsoft,internship,102,2026-01-06 16:58:49.650396
70,Google,internship,103,2025-11-02 16:58:49.650396
71,Google,full-time,104,2025-11-30 16:58:49.650396
72,Google,internship,104,2025-11-18 16:58:49.650396
73,Infosys,full-time,103,2026-01-05 16:58:49.650396
74,Infosys,internship,101,2025-12-28 16:58:49.650396
75,Infosys,internship,104,2026-01-22 16:58:49.650396
76,Infosys,full-time,102,2026-01-20 16:58:49.650396
77,Microsoft,internship,103,2026-01-19 16:58:49.650396
78,Google,internship,101,2025-11-18 16:58:49.650396
79,Microsoft,full-time,103,2026-01-21 16:58:49.650396
80,Microsoft,internship,102,2026-01-06 16:58:49.650396
81,Infosys,full-time,103,2026-01-01 16:58:49.650396
82,Google,internship,101,2026-01-18 16:58:49.650396
83,Amazon,full-time,103,2025-11-09 16:58:49.650396
84,Microsoft,full-time,102,2025-11-03 16:58:49.650396
85,TCS,full-time,101,2025-12-19 16:58:49.650396
86,TCS,internship,101,2026-01-13 16:58:49.650396
87,TCS,internship,104,2025-12-30 16:58:49.650396
88,TCS,full-time,102,2026-01-15 16:58:49.650396
89,Microsoft,full-time,101,2026-01-07 16:58:49.650396
90,Amazon,full-time,102,2025-11-10 16:58:49.650396
91,Microsoft,full-time,103,2025-11-03 16:58:49.650396
92,Infosys,full-time,101,2025-11-21 16:58:49.650396
93,Amazon,full-time,104,2025-12-19 16:58:49.650396
94,Infosys,internship,102,2026-01-12 16:58:49.650396
95,Amazon,full-time,102,2025-12-25 16:58:49.650396
96,Amazon,internship,101,2025-12-07 16:58:49.650396
97,TCS,full-time,104,2026-01-17 16:58:49.650396
98,Amazon,internship,102,2025-12-29 16:58:49.650396
99,TCS,full-time,104,2025-12-03 16:58:49.650396
100,Microsoft,full-time,101,2025-12-28 16:58:49.650396
101,Google,full-time,101,2026-01-06 16:58:49.650396
102,Microsoft,full-time,104,2025-11-27 16:58:49.650396
103,Amazon,internship,104,2025-12-28 16:58:49.650396
104,TCS,internship,103,2025-12-28 16:58:49.650396
105,Amazon,internship,103,2025-11-29 16:58:49.650396
106,Microsoft,full-time,103,2026-01-04 16:58:49.650396
107,TCS,full-time,101,2026-01-01 16:58:49.650396
108,Microsoft,internship,102,2025-11-01 16:58:49.650396
109,Microsoft,internship,103,2026-01-06 16:58:49.650396
110,Infosys,internship,104,2025-11-19 16:58:49.650396
111,Google,full-time,102,2026-01-20 16:58:49.650396
112,Amazon,internship,104,2026-01-14 16:58:49.650396
113,Infosys,full-time,103,2025-11-19 16:58:49.650396
114,Infosys,full-time,101,2026-01-25 16:58:49.650396
115,Google,internship,101,2025-10-30 16:58:49.650396
116,Infosys,full-time,103,2025-12-07 16:58:49.650396
117,Amazon,full-time,104,2025-11-29 16:58:49.650396
118,Microsoft,full-time,103,2025-12-05 16:58:49.650396
119,Infosys,full-time,104,2026-01-05 16:58:49.650396
120,TCS,internship,103,2025-12-19 16:58:49.650396
121,Amazon,internship,103,2026-01-05 16:58:49.650396
122,Google,internship,101,2025-11-10 16:58:49.650396
123,TCS,internship,101,2026-01-09 16:58:49.650396
124,Amazon,internship,102,2025-11-22 16:58:49.650396
125,Microsoft,full-time,101,2025-11-21 16:58:49.651395
126,Google,internship,103,2026-01-05 16:58:49.651395
127,Amazon,full-time,101,2026-01-04 16:58:49.651395
128,Infosys,internship,104,2025-12-20 16:58:49.651395
129,Infosys,full-time,103,2025-12-27 16:58:49.651395
130,Amazon,internship,104,2025-11-13 16:58:49.651395
131,Infosys,internship,104,2026-01-26 16:58:49.651395
132,Infosys,internship,102,2025-12-23 16:58:49.651395
133,Amazon,internship,101,2025-12-11 16:58:49.651395
134,Google,full-time,104,2026-01-07 16:58:49.651395
135,Amazon,internship,103,2026-01-18 16:58:49.651395
136,TCS,internship,104,2025-12-07 16:58:49.651395
137,Microsoft,internship,101,2026-01-22 16:58:49.651395
138,Infosys,internship,101,2025-11-12 16:58:49.651395
139,Microsoft,full-time,103,2025-11-26 16:58:49.651395
140,Amazon,internship,103,2026-01-12 16:58:49.651395
141,Microsoft,full-time,102,2025-12-18 16:58:49.651395
142,Amazon,full-time,104,2025-12-06 16:58:49.651395
143,Google,full-time,103,2025-12-06 16:58:49.651395
144,TCS,internship,102,2026-01-20 16:58:49.651395
145,Microsoft,full-time,103,2026-01-18 16:58:49.651395
146,Microsoft,internship,102,2025-12-30 16:58:49.651395
147,Microsoft,internship,103,2026-01-05 16:58:49.651395
148,Google,full-time,102,2026-01-08 16:58:49.651395
149,Infosys,full-time,101,2025-12-19 16:58:49.651395
150,TCS,full-time,102,2026-01-14 16:58:49.651395
151,Microsoft,full-time,101,2025-12-05 16:58:49.651395
152,Microsoft,full-time,102,2025-11-09 16:58:49.651395
153,Google,full-time,103,2025-12-12 16:58:49.651395
154,Infosys,full-time,103,2025-12-16 16:58:49.651395
155,TCS,full-time,104,2025-11-22 16:58:49.651395
156,Amazon,internship,104,2025-12-01 16:58:49.651395
157,Infosys,internship,102,2025-12-22 16:58:49.651395
158,TCS,internship,102,2025-12-06 16:58:49.651395
159,TCS,internship,103,2025-12-13 16:58:49.651395
160,Amazon,internship,102,2025-11-15 16:58:49.651395
161,Amazon,internship,103,2025-12-06 16:58:49.651395
162,Infosys,internship,102,2025-11-27 16:58:49.651395
163,TCS,internship,102,2025-11-03 16:58:49.651395
164,TCS,full-time,102,2025-12-03 16:58:49.651395
165,Microsoft,full-time,103,2025-11-10 16:58:49.651395
166,Google,full-time,102,2025-11-16 16:58:49.651395
167,Infosys,full-time,103,2025-12-01 16:58:49.651395
168,Google,internship,102,2025-12-13 16:58:49.651395
169,Google,internship,102,2025-11-06 16:58:49.651395
170,Google,full-time,103,2025-12-08 16:58:49.651395
171,Microsoft,full-time,101,2025-12-14 16:58:49.651395
172,Infosys,full-time,104,2025-11-12 16:58:49.651395
173,TCS,internship,102,2025-11-16 16:58:49.651395
174,TCS,full-time,104,2025-11-18 16:58:49.651395
175,Infosys,internship,102,2025-12-08 16:58:49.651395
176,TCS,internship,103,2025-12-26 16:58:49.651395
177,Microsoft,internship,104,2026-01-03 16:58:49.651395
178,Google,internship,102,2026-01-21 16:58:49.651395
179,Microsoft,internship,101,2025-12-29 16:58:49.651395
180,Google,internship,103,2025-11-18 16:58:49.651395
181,TCS,full-time,103,2025-12-08 16:58:49.651395
182,Amazon,full-time,103,2025-11-21 16:58:49.651395
183,TCS,full-time,104,2025-10-31 16:58:49.651395
184,Google,full-time,103,2025-12-21 16:58:49.651395
185,Infosys,full-time,102,2026-01-03 16:58:49.651395
186,Infosys,internship,104,2026-01-15 16:58:49.651395
187,Amazon,internship,104,2026-01-06 16:58:49.651395
188,Google,full-time,103,2025-11-15 16:58:49.651395
189,Microsoft,full-time,104,2025-11-30 16:58:49.651395
190,Amazon,internship,102,2025-12-15 16:58:49.651395
191,TCS,full-time,101,2025-12-19 16:58:49.651395
192,Google,internship,102,2025-12-15 16:58:49.651395
193,TCS,full-time,103,2025-11-19 16:58:49.651395
194,Google,internship,104,2025-11-01 16:58:49.651395
195,Google,full-time,103,2025-12-06 16:58:49.651395
196,Amazon,full-time,102,2025-12-07 16:58:49.651395
197,Google,internship,102,2025-12-28 16:58:49.651395
198,TCS,full-time,102,2026-01-23 16:58:49.651395
199,TCS,full-time,104,2025-11-14 16:58:49.651395
200,Infosys,full-time,101,2025-11-18 16:58:49.651395
